Sex,Job,Housing,Credit amount,Duration,Purpose,Monthly_Payment,Loan Category,Age Group,Account Size,High Monthly_Payment,Prompt Length,Prediction Mistral,Prediction Mistral Small
male,skilled,free,1346,6,radio/TV,224.0,recreational,41_50,moderate,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1924,10,radio/TV,192.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,5848,36,radio/TV,162.0,recreational,21_30,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,7758,24,car,323.0,development,21_30,rich,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,6967,24,business,290.0,development,31_40,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,1282,12,furniture/equipment,107.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1288,9,repairs,143.0,maintenance,41_50,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,339,12,education,28.0,development,41_50,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,3512,24,car,146.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1898,6,radio/TV,316.0,recreational,31_40,no data,high,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2872,24,radio/TV,120.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1055,18,car,59.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1262,15,domestic appliances,84.0,maintenance,31_40,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,7308,10,car,731.0,development,71_80,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,909,36,car,25.0,development,31_40,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2978,6,furniture/equipment,496.0,maintenance,31_40,quite rich,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1131,18,furniture/equipment,63.0,maintenance,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1577,11,furniture/equipment,143.0,maintenance,21_30,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,3972,24,furniture/equipment,166.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1935,24,business,81.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,950,15,car,63.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,763,12,furniture/equipment,64.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,own,2064,24,furniture/equipment,86.0,maintenance,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1414,8,radio/TV,177.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3414,21,education,163.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,own,7485,30,car,250.0,development,51_60,no data,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2577,12,furniture/equipment,215.0,maintenance,41_50,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,338,6,radio/TV,56.0,recreational,51_60,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,1963,12,radio/TV,164.0,recreational,31_40,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,571,21,car,27.0,development,61_70,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,9572,36,business,266.0,development,21_30,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,4455,36,business,124.0,development,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1647,21,car,78.0,development,41_50,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,3777,24,furniture/equipment,157.0,maintenance,51_60,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,884,18,car,49.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1360,15,radio/TV,91.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,free,5129,9,car,570.0,development,71_80,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and non-resident,free,1175,16,car,73.0,development,61_70,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,674,12,radio/TV,56.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,3244,18,furniture/equipment,180.0,maintenance,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,4591,24,business,191.0,development,51_60,rich,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,free,3844,48,business,80.0,development,31_40,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,3915,27,business,145.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,2108,6,radio/TV,351.0,recreational,21_30,little,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""potentially risky"",""stop_reason"":""length""}]}",bad
male,skilled,rent,3031,45,radio/TV,67.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,own,1501,9,education,167.0,development,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1382,6,radio/TV,230.0,recreational,21_30,little,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,951,12,furniture/equipment,79.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,2760,24,car,115.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,4297,18,furniture/equipment,239.0,maintenance,41_50,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,936,9,education,104.0,development,51_60,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1168,12,car,97.0,development,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,5117,27,business,190.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,902,12,education,75.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1495,12,car,125.0,development,31_40,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,highly skilled,free,10623,30,car,354.0,development,31_40,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1935,12,furniture/equipment,161.0,maintenance,41_50,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1424,12,domestic appliances,119.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,6568,24,business,274.0,development,21_30,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,1413,12,car,118.0,development,51_60,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3074,9,radio/TV,342.0,recreational,31_40,no data,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,3835,36,radio/TV,107.0,recreational,41_50,no data,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,5293,27,business,196.0,development,51_60,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,1908,30,business,64.0,development,61_70,rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3342,36,radio/TV,93.0,recreational,51_60,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,932,6,education,155.0,development,31_40,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,3104,18,business,172.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3913,36,radio/TV,109.0,recreational,21_30,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,3021,24,furniture/equipment,126.0,maintenance,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,own,1364,10,car,136.0,development,61_70,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,625,12,radio/TV,52.0,recreational,21_30,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,rent,1200,12,education,100.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,707,12,radio/TV,59.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2978,24,business,124.0,development,31_40,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,4657,15,car,310.0,development,31_40,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2613,36,repairs,73.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,10961,48,radio/TV,228.0,recreational,21_30,rich,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,7865,12,furniture/equipment,655.0,maintenance,51_60,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1478,9,radio/TV,164.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,3149,24,furniture/equipment,131.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,4210,36,radio/TV,117.0,recreational,21_30,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,free,2507,9,car,279.0,development,51_60,quite rich,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2141,12,radio/TV,178.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,866,18,radio/TV,48.0,recreational,21_30,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,1544,4,radio/TV,386.0,recreational,41_50,little,high,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,highly skilled,own,1823,24,radio/TV,76.0,recreational,31_40,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and non-resident,own,14555,6,car,2426.0,development,21_30,moderate,high,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,rent,2767,21,business,132.0,development,61_70,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,own,1291,12,radio/TV,108.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2522,30,radio/TV,84.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,915,24,car,38.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1595,6,radio/TV,266.0,recreational,51_60,little,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,4605,48,car,96.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1185,12,business,99.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,3447,12,education,287.0,development,31_40,quite rich,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1258,24,business,52.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,717,12,radio/TV,60.0,recreational,51_60,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,1204,6,car,201.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1925,24,furniture/equipment,80.0,maintenance,21_30,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,433,18,radio/TV,24.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,666,6,car,111.0,development,31_40,rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,2251,12,furniture/equipment,188.0,maintenance,41_50,rich,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2150,30,car,72.0,development,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,4151,24,furniture/equipment,173.0,maintenance,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2030,9,furniture/equipment,226.0,maintenance,21_30,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,7418,60,radio/TV,124.0,recreational,21_30,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,2684,24,radio/TV,112.0,recreational,31_40,little,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,free,2149,12,radio/TV,179.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,3812,15,car,254.0,development,21_30,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,1154,11,radio/TV,105.0,recreational,51_60,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,1657,12,furniture/equipment,138.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1603,24,radio/TV,67.0,recreational,51_60,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,5302,18,car,295.0,development,31_40,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,free,2748,12,education,229.0,development,51_60,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,1231,10,car,123.0,development,31_40,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,802,15,radio/TV,53.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,6304,36,business,175.0,development,31_40,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1533,24,radio/TV,64.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,8978,14,car,641.0,development,41_50,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,999,24,radio/TV,42.0,recreational,21_30,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2662,18,car,148.0,development,31_40,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,1402,12,furniture/equipment,117.0,maintenance,31_40,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,12169,48,car,254.0,development,31_40,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3060,48,radio/TV,64.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,11998,30,repairs,400.0,maintenance,31_40,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2697,9,radio/TV,300.0,recreational,31_40,little,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2404,18,radio/TV,134.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1262,12,furniture/equipment,105.0,maintenance,41_50,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,own,4611,6,furniture/equipment,768.0,maintenance,31_40,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,1901,24,radio/TV,79.0,recreational,21_30,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,3368,15,car,225.0,development,21_30,rich,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1574,12,furniture/equipment,131.0,maintenance,51_60,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1445,18,radio/TV,80.0,recreational,41_50,rich,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1520,15,furniture/equipment,101.0,maintenance,61_70,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3878,24,car,162.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,10722,47,car,228.0,development,31_40,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,4788,48,car,100.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,7582,48,vacation/others,158.0,recreational,31_40,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1092,12,radio/TV,91.0,recreational,41_50,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1024,24,radio/TV,43.0,recreational,41_50,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1076,12,business,90.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,9398,36,car,261.0,development,21_30,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,free,6419,24,car,267.0,development,41_50,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,4796,42,car,114.0,development,51_60,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,7629,48,business,159.0,development,41_50,no data,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,9960,48,furniture/equipment,208.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,4675,12,car,390.0,development,21_30,no data,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1287,10,car,129.0,development,41_50,no data,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2515,18,furniture/equipment,140.0,maintenance,41_50,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2745,21,furniture/equipment,131.0,maintenance,31_40,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and non-resident,own,672,6,car,112.0,development,51_60,little,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
